,istab,U,zi,stab,imet,Q_mg,zplume,dur,sig_x0,sig_y0,sig_z0,title,isrc,y,z,t,iloc,icurve,x,sig_x,sig_y,sig_z,zfunc,yfunc,qyz,cpeak,conc,dinf,dose
0,3,3,100000,D,0,1000000.0,0,0,0,0,0.0,sample,0,0,0,5000,0,0,0.001,0.0016557347274318143,0.0019573240324071636,0.001344260473029288,450.0792728775781,203.82025346656783,91735271477.95653,22103225710211.246,0.0,30578423825.985508,30578423825.985508
1,3,3,100000,D,0,1000000.0,0,0,0,0,0.0,sample,0,0,0,5000,0,0,0.01,0.005722470357192891,0.010209095464909609,0.002782784885003229,268.79384876406124,39.07714270795732,10503695587.174318,732265614084.428,0.0,3501231862.3914394,3501231862.3914394
2,3,3,100000,D,0,1000000.0,0,0,0,0,0.0,sample,0,0,0,5000,0,0,0.1,0.028713542614404886,0.08748873314577921,0.007169185874524667,110.21617591203078,4.559927502169795,502577771.72525316,6982751136.760026,0.0,167525923.90841773,167525923.9084177
3,3,3,100000,D,0,1000000.0,0,0,0,0,0.0,sample,0,0,0,5000,0,0,1.0,0.15234144968843086,0.8073471332555879,0.01909985731572596,41.717156237222625,0.49413971260753403,20614103.593864784,53982927.90955581,0.0,6871367.864621595,6871367.864621595
4,3,3,100000,D,0,1000000.0,0,0,0,0,0.0,sample,0,0,0,5000,0,0,10.0,1.2937638550963604,6.901684781156531,0.6327031342131307,1.2610709842943055,0.057803607822057186,72894.45261192367,22477.57891755992,0.0,24298.150870641224,24298.15087064122
0,3,3,100000,D,0,1000000.0,0,0,1,1,0.1,sample,0,0,0,5000,0,1,0.001,1.000122605251699,1.0007578373392543,0.1000503816041256,7.974429431917359,0.3986401759911397,3178927.9521684605,1268053.2964763602,0.0,1059642.65072282,1059642.65072282
1,3,3,100000,D,0,1000000.0,0,0,1,1,0.1,sample,0,0,0,5000,0,1,0.01,1.001226001158536,1.0075770237110189,0.10050427713629069,7.9384190366561835,0.3959422168362709,3143155.231548903,1252402.0693418465,0.0,1047718.410516301,1047718.4105163009
2,3,3,100000,D,0,1000000.0,0,0,1,1,0.1,sample,0,0,0,5000,0,1,0.1,1.012254899508946,1.0756388476740697,0.10508873509121452,7.5921404589161385,0.3708886874661453,2815839.0098660244,1109757.271991684,0.0,938613.0032886748,938613.0032886748
3,3,3,100000,D,0,1000000.0,0,0,1,1,0.1,sample,0,0,0,5000,0,1,1.0,1.122060057454379,1.7458397363691842,0.1553506216839922,5.135917847628511,0.22851025331289077,1173609.8883557876,417270.5391764335,0.0,391203.29611859587,391203.29611859587
4,3,3,100000,D,0,1000000.0,0,0,1,1,0.1,sample,0,0,0,5000,0,1,10.0,2.185466501941886,7.44339645746898,1.0804219896861649,0.7384931319966245,0.053596806603136024,39580.87357336729,7225.223516173498,0.0,13193.624524455763,13193.624524455761
0,3,3,100000,D,0,1000000.0,0,0,5,5,0.5,sample,0,0,0,5000,0,2,0.001,5.000108496290124,5.000650342685217,0.500096507341979,1.5954579844837042,0.07977807946220275,127282.5738647468,10155.459688653034,0.0,42427.52462158226,42427.52462158226
1,3,3,100000,D,0,1000000.0,0,0,5,5,0.5,sample,0,0,0,5000,0,2,0.01,5.001084954854218,5.006503070406283,0.5009654119104373,1.5926907371450816,0.07968481688538306,126913.26974445158,10124.017028726834,0.0,42304.423248150524,42304.423248150524
2,3,3,100000,D,0,1000000.0,0,0,5,5,0.5,sample,0,0,0,5000,0,2,0.1,5.010848744502848,5.0649952397584785,0.5096879269015775,1.5654344217498757,0.07876459138004166,123300.80256138075,9816.68093716216,0.0,41100.26752046025,41100.26752046025
3,3,3,100000,D,0,1000000.0,0,0,5,5,0.5,sample,0,0,0,5000,0,2,1.0,5.108407696148767,5.646573980892301,0.6002202680652845,1.32931774532654,0.07065209483687483,93919.08341115132,7334.632538727177,0.0,31306.36113705044,31306.36113705044
4,3,3,100000,D,0,1000000.0,0,0,5,5,0.5,sample,0,0,0,5000,0,2,10.0,6.076687996870259,9.703962958340055,2.027732333524606,0.39348608817113184,0.04111127403454919,16176.714399586186,1062.0218341467357,0.0,5392.238133195396,5392.238133195395
0,3,3,100000,D,0,1000000.0,0,0,10,10,1.0,sample,0,0,0,5000,0,3,0.001,10.000102931414016,10.000358704568136,1.0001456354087186,0.7977679787112173,0.0398927970672889,31825.196081507842,1269.6285614316378,0.0,10608.398693835947,10608.398693835947
1,3,3,100000,D,0,1000000.0,0,0,10,10,1.0,sample,0,0,0,5000,0,3,0.01,10.001029310518582,10.003586720385368,1.0014567959677712,0.7967234994390928,0.039879924226424286,31773.272787042613,1267.439731243253,0.0,10591.090929014204,10591.090929014204
2,3,3,100000,D,0,1000000.0,0,0,10,10,1.0,sample,0,0,0,5000,0,3,0.1,10.010292743174487,10.035834755764194,1.014612132070284,0.7863932906467083,0.03975177851272369,31260.531913679897,1245.8324854394161,0.0,10420.177304559966,10420.177304559966
3,3,3,100000,D,0,1000000.0,0,0,10,10,1.0,sample,0,0,0,5000,0,3,1.0,10.102891371437062,10.355181664365,1.1505232307144861,0.6934968700493432,0.038525860128007385,26717.56341473191,1055.0213086104782,0.0,8905.854471577304,8905.854471577302
4,3,3,100000,D,0,1000000.0,0,0,10,10,1.0,sample,0,0,0,5000,0,3,10.0,11.025440951076336,13.295166501395293,2.9326567152844683,0.2720688412859119,0.030006565194919878,8163.851423552024,295.39911539341915,0.0,2721.2838078506747,2721.2838078506747
0,3,3,100000,D,0,1000000.0,0,0,20,20,2.0,sample,0,0,0,5000,0,4,0.001,20.000097651943346,20.000211744061197,2.0002007460377977,0.3989021915264511,0.019946902838160873,7956.86325630756,158.7156836709379,0.0,2652.28775210252,2652.28775210252
1,3,3,100000,D,0,1000000.0,0,0,20,20,2.0,sample,0,0,0,5000,0,4,0.01,20.000976517803732,20.00211736914239,2.0020078801846717,0.39854211822266056,0.01994500247343253,7948.923533718005,158.55034270228197,0.0,2649.6411779060018,2649.6411779060018
2,3,3,100000,D,0,1000000.0,0,0,20,20,2.0,sample,0,0,0,5000,0,4,0.1,20.00976501508639,20.02116655049475,2.020120772250574,0.3949686939535153,0.019926025758552728,7870.156369539675,156.9102948891608,0.0,2623.385456513225,2623.385456513225
3,3,3,100000,D,0,1000000.0,0,0,20,20,2.0,sample,0,0,0,5000,0,4,1.0,20.09763388592689,20.210957375697333,2.205394651024795,0.3617876185601406,0.019738910581303826,7141.293452181471,141.7561843846726,0.0,2380.4311507271573,2380.431150727157
4,3,3,100000,D,0,1000000.0,0,0,20,20,2.0,sample,0,0,0,5000,0,4,10.0,20.97474173187807,22.04414576087517,4.4637865737319595,0.1787461222891729,0.01809742526333188,3234.844589238687,61.527159364911306,0.0,1078.2815297462291,1078.281529746229
