,istab,U,zi,stab,imet,Q_mg,zplume,dur,sig_x0,sig_y0,sig_z0,title,isrc,x,y,z,iloc,icurve,t,iseries
0,3,3,100000,D,0,1000000.0,0,0,0,0,0,sample,0,1000,0,0,0,0,0.0,0
1,3,3,100000,D,0,1000000.0,0,0,0,0,0,sample,0,1000,0,0,0,0,10.0,0
2,3,3,100000,D,0,1000000.0,0,0,0,0,0,sample,0,1000,0,0,0,0,20.0,0
3,3,3,100000,D,0,1000000.0,0,0,0,0,0,sample,0,1000,0,0,0,0,30.0,0
4,3,3,100000,D,0,1000000.0,0,0,0,0,0,sample,0,1000,0,0,0,0,40.0,0
5,3,3,100000,D,0,1000000.0,0,0,0,0,0,sample,0,1000,0,0,0,0,50.0,0
6,3,3,100000,D,0,1000000.0,0,0,0,0,0,sample,0,1000,0,0,0,0,60.0,0
7,3,3,100000,D,0,1000000.0,0,0,0,0,0,sample,0,1000,0,0,0,0,70.0,0
8,3,3,100000,D,0,1000000.0,0,0,0,0,0,sample,0,1000,0,0,0,0,80.0,0
9,3,3,100000,D,0,1000000.0,0,0,0,0,0,sample,0,1000,0,0,0,0,90.0,0
10,3,3,100000,D,0,1000000.0,0,0,0,0,0,sample,0,1000,0,0,0,0,100.0,0
11,3,3,100000,D,0,1000000.0,0,0,0,0,0,sample,0,1000,0,0,0,0,110.0,0
12,3,3,100000,D,0,1000000.0,0,0,0,0,0,sample,0,1000,0,0,0,0,120.0,0
13,3,3,100000,D,0,1000000.0,0,0,0,0,0,sample,0,1000,0,0,0,0,130.0,0
14,3,3,100000,D,0,1000000.0,0,0,0,0,0,sample,0,1000,0,0,0,0,140.0,0
15,3,3,100000,D,0,1000000.0,0,0,0,0,0,sample,0,1000,0,0,0,0,150.0,0
16,3,3,100000,D,0,1000000.0,0,0,0,0,0,sample,0,1000,0,0,0,0,160.0,0
17,3,3,100000,D,0,1000000.0,0,0,0,0,0,sample,0,1000,0,0,0,0,170.0,0
18,3,3,100000,D,0,1000000.0,0,0,0,0,0,sample,0,1000,0,0,0,0,180.0,0
19,3,3,100000,D,0,1000000.0,0,0,0,0,0,sample,0,1000,0,0,0,0,190.0,0
20,3,3,100000,D,0,1000000.0,0,0,0,0,0,sample,0,1000,0,0,0,0,200.0,0
21,3,3,100000,D,0,1000000.0,0,0,0,0,0,sample,0,1000,0,0,0,0,210.0,0
