ID,istab,wind,x,y,z,icurve,t,sig_x,sig_y,sig_z, zfunc, cpeak, concentration, dinf, dose
0,3,3,10,0,6.93309e-310,0,5000,1.29376,6.90168,0.632703,1.26107,-999,0,-999,24298.2
1,3,3,19.9,0,6.93309e-310,0,5000,2.45239,10.7219,2.27882,0.350131,-999,0,-999,4342.56
2,3,3,29.8,0,6.93309e-310,0,5000,3.56915,13.8848,4.83362,0.16507,-999,0,-999,1580.94
3,3,3,39.7,0,6.93309e-310,0,5000,4.65952,16.4766,6.31427,0.126362,-999,0,-999,1019.86
4,3,3,49.6,0,6.93309e-310,0,5000,5.73064,18.7698,7.36087,0.108395,-999,0,-999,767.964
5,3,3,59.5,0,6.93309e-310,0,5000,6.78668,20.8794,8.34398,0.095624,-999,0,-999,609.03
6,3,3,69.4,0,6.93309e-310,0,5000,7.83033,22.8476,9.27722,0.0860047,-999,0,-999,500.577
7,3,3,79.3,0,6.93309e-310,0,5000,8.86348,24.7022,10.1698,0.0784563,-999,0,-999,422.358
8,3,3,89.2,0,6.93309e-310,0,5000,9.88754,26.4631,11.0283,0.072349,-999,0,-999,363.565
9,3,3,99.1,0,6.93309e-310,0,5000,10.9036,28.1445,11.8575,0.0672893,-999,0,-999,317.937
10,3,3,109,0,6.93309e-310,0,5000,11.9125,30.057,12.9175,0.0617677,-999,0,-999,273.278
11,3,3,118.9,0,6.93309e-310,0,5000,12.9149,31.9471,13.9946,0.0570138,-999,0,-999,237.322
12,3,3,128.8,0,6.93309e-310,0,5000,13.9115,33.7907,15.0646,0.0529641,-999,0,-999,208.436
13,3,3,138.7,0,6.93309e-310,0,5000,14.9026,35.5925,16.1282,0.0494714,-999,0,-999,184.835
14,3,3,148.6,0,6.93309e-310,0,5000,15.8888,37.3562,17.1858,0.046427,-999,0,-999,165.271
15,3,3,158.5,0,6.93309e-310,0,5000,16.8704,39.0851,18.2379,0.0437488,-999,0,-999,148.848
16,3,3,168.4,0,6.93309e-310,0,5000,17.8476,40.7822,19.2848,0.0413738,-999,0,-999,134.91
17,3,3,178.3,0,6.93309e-310,0,5000,18.8208,42.4496,20.3268,0.0392528,-999,0,-999,122.966
18,3,3,188.2,0,6.93309e-310,0,5000,19.7901,44.0897,21.3643,0.0373466,-999,0,-999,112.643
19,3,3,198.1,0,6.93309e-310,0,5000,20.7559,45.7041,22.3976,0.0356237,-999,0,-999,103.651
20,3,3,208,0,6.93309e-310,0,5000,21.7182,47.2947,23.4267,0.0340587,-999,0,-999,95.7645
21,3,3,217.9,0,6.93309e-310,0,5000,22.6774,48.8628,24.452,0.0326306,-999,0,-999,88.8046
22,3,3,227.8,0,6.93309e-310,0,5000,23.6334,50.4098,25.4737,0.0313219,-999,0,-999,82.627
23,3,3,237.7,0,6.93309e-310,0,5000,24.5866,51.9369,26.4918,0.0301181,-999,0,-999,77.1154
24,3,3,247.6,0,6.93309e-310,0,5000,25.5369,53.445,27.5066,0.029007,-999,0,-999,72.1745
25,3,3,257.5,0,6.93309e-310,0,5000,26.4845,54.9353,28.5183,0.027978,-999,0,-999,67.7258
26,3,3,267.4,0,6.93309e-310,0,5000,27.4296,56.4086,29.5268,0.0270224,-999,0,-999,63.704
27,3,3,277.3,0,6.93309e-310,0,5000,28.3722,57.8656,30.5325,0.0261323,-999,0,-999,60.0546
28,3,3,287.2,0,6.93309e-310,0,5000,29.3125,59.3072,31.5353,0.0253013,-999,0,-999,56.7316
29,3,3,297.1,0,6.93309e-310,0,5000,30.2504,60.7341,32.5354,0.0245236,-999,0,-999,53.6959
30,3,3,307,0,6.93309e-310,0,5000,31.1862,62.1468,33.5328,0.0237941,-999,0,-999,50.9143
31,3,3,316.9,0,6.93309e-310,0,5000,32.1198,63.5573,34.5306,0.0231066,-999,0,-999,48.3459
32,3,3,326.8,0,6.93309e-310,0,5000,33.0514,65.1111,35.5649,0.0224346,-999,0,-999,45.8198
33,3,3,336.7,0,6.93309e-310,0,5000,33.981,66.6547,36.5979,0.0218014,-999,0,-999,43.4953
34,3,3,346.6,0,6.93309e-310,0,5000,34.9086,68.1887,37.6297,0.0212036,-999,0,-999,41.351
35,3,3,356.5,0,6.93309e-310,0,5000,35.8344,69.7132,38.6603,0.0206384,-999,0,-999,39.3685
36,3,3,366.4,0,6.93309e-310,0,5000,36.7583,71.2287,39.6897,0.0201031,-999,0,-999,37.5315
37,3,3,376.3,0,6.93309e-310,0,5000,37.6805,72.7354,40.718,0.0195954,-999,0,-999,35.8258
38,3,3,386.2,0,6.93309e-310,0,5000,38.601,74.2336,41.7452,0.0191132,-999,0,-999,34.239
39,3,3,396.1,0,6.93309e-310,0,5000,39.5199,75.7236,42.7714,0.0186546,-999,0,-999,32.7601
40,3,3,406,0,6.93309e-310,0,5000,40.4371,77.2056,43.7965,0.018218,-999,0,-999,31.3791
41,3,3,415.9,0,6.93309e-310,0,5000,41.3527,78.6799,44.8205,0.0178018,-999,0,-999,30.0876
42,3,3,425.8,0,6.93309e-310,0,5000,42.2668,80.1466,45.8436,0.0174045,-999,0,-999,28.8778
43,3,3,435.7,0,6.93309e-310,0,5000,43.1794,81.606,46.8658,0.0170249,-999,0,-999,27.7428
44,3,3,445.6,0,6.93309e-310,0,5000,44.0905,83.0583,47.887,0.0166618,-999,0,-999,26.6765
45,3,3,455.5,0,6.93309e-310,0,5000,45.0002,84.5037,48.9072,0.0163142,-999,0,-999,25.6732
46,3,3,465.4,0,6.93309e-310,0,5000,45.9085,85.9424,49.9266,0.0159812,-999,0,-999,24.728
47,3,3,475.3,0,6.93309e-310,0,5000,46.8155,87.3745,50.9451,0.0156617,-999,0,-999,23.8365
48,3,3,485.2,0,6.93309e-310,0,5000,47.7211,88.8002,51.9627,0.0153549,-999,0,-999,22.9944
49,3,3,495.1,0,6.93309e-310,0,5000,48.6254,90.2197,52.9795,0.0150602,-999,0,-999,22.1983
50,3,3,505,0,6.93309e-310,0,5000,49.5284,91.6331,53.9955,0.0147769,-999,0,-999,21.4447
51,3,3,514.9,0,6.93309e-310,0,5000,50.4302,93.0405,55.0106,0.0145042,-999,0,-999,20.7305
52,3,3,524.8,0,6.93309e-310,0,5000,51.3308,94.4422,56.025,0.0142416,-999,0,-999,20.0531
53,3,3,534.7,0,6.93309e-310,0,5000,52.2301,95.8381,57.0386,0.0139885,-999,0,-999,19.4098
54,3,3,544.6,0,6.93309e-310,0,5000,53.1283,97.2286,58.0514,0.0137445,-999,0,-999,18.7985
55,3,3,554.5,0,6.93309e-310,0,5000,54.0253,98.6136,59.0635,0.0135089,-999,0,-999,18.2169
56,3,3,564.4,0,6.93309e-310,0,5000,54.9212,99.9933,60.0748,0.0132815,-999,0,-999,17.6631
57,3,3,574.3,0,6.93309e-310,0,5000,55.816,101.368,61.0854,0.0130618,-999,0,-999,17.1353
58,3,3,584.2,0,6.93309e-310,0,5000,56.7097,102.737,62.0953,0.0128493,-999,0,-999,16.6319
59,3,3,594.1,0,6.93309e-310,0,5000,57.6024,104.102,63.1046,0.0126439,-999,0,-999,16.1514
60,3,3,604,0,6.93309e-310,0,5000,58.494,105.461,64.1131,0.012445,-999,0,-999,15.6924
61,3,3,613.9,0,6.93309e-310,0,5000,59.3845,106.816,65.121,0.0122523,-999,0,-999,15.2536
62,3,3,623.8,0,6.93309e-310,0,5000,60.2741,108.166,66.1282,0.0120657,-999,0,-999,14.8338
63,3,3,633.7,0,6.93309e-310,0,5000,61.1626,109.512,67.1347,0.0118848,-999,0,-999,14.4318
64,3,3,643.6,0,6.93309e-310,0,5000,62.0502,110.853,68.1406,0.0117094,-999,0,-999,14.0468
