ID,istab,wind,x,y,z,icurve,t,sig_x,sig_y,sig_z, zfunc, cpeak, concentration, dinf, dose
0,3,3,100,0,6.95264e-310,0,1e+06,10.9955,28.2936,11.9315,0.066872,-999,0,-999,314.3
1,3,3,599,0,6.95264e-310,0,1e+06,58.0437,104.775,63.6037,0.0127234,-999,0,-999,16.1486
2,3,3,1098,0,6.95264e-310,0,1e+06,101.941,170.633,114.813,0.01,-999,0,-999,7.79339
3,3,3,1597,0,6.95264e-310,0,1e+06,144.4,240.187,170.683,0.01,-999,0,-999,5.53656
4,3,3,2096,0,6.95264e-310,0,1e+06,185.916,309.557,225.003,0.01,-999,0,-999,4.29584
5,3,3,2595,0,6.95264e-310,0,1e+06,226.733,378.906,277.891,0.01,-999,0,-999,3.5096
6,3,3,3094,0,6.95264e-310,0,1e+06,266.996,447.542,330.663,0.01,-999,0,-999,2.97136
7,3,3,3593,0,6.95264e-310,0,1e+06,306.801,510.295,373.638,0.01,-999,0,-999,2.60596
8,3,3,4092,0,6.95264e-310,0,1e+06,346.216,571.111,413.952,0.01,-999,0,-999,2.32846
9,3,3,4591,0,6.95264e-310,0,1e+06,385.293,630.937,453.233,0.01,-999,0,-999,2.10767
10,3,3,5090,0,6.95264e-310,0,1e+06,424.071,689.895,491.618,0.01,-999,0,-999,1.92755
11,3,3,5589,0,6.95264e-310,0,1e+06,462.58,748.08,529.211,0.01,-999,0,-999,1.77763
12,3,3,6088,0,6.95264e-310,0,1e+06,500.847,807.973,587.996,0.01,-999,0,-999,1.64586
13,3,3,6587,0,6.95264e-310,0,1e+06,538.894,867.562,649.662,0.01,-999,0,-999,1.53281
14,3,3,7086,0,6.95264e-310,0,1e+06,576.737,926.717,712.585,0.01,-999,0,-999,1.43497
15,3,3,7585,0,6.95264e-310,0,1e+06,614.392,985.469,776.699,0.01,-999,0,-999,1.34942
16,3,3,8084,0,6.95264e-310,0,1e+06,651.872,1043.85,841.945,0.01,-999,0,-999,1.27395
17,3,3,8583,0,6.95264e-310,0,1e+06,689.19,1101.88,908.273,0.01,-999,0,-999,1.20685
18,3,3,9082,0,6.95264e-310,0,1e+06,726.354,1159.59,975.634,0.01,-999,0,-999,1.14679
19,3,3,9581,0,6.95264e-310,0,1e+06,763.375,1216.99,1043.99,0.01,-999,0,-999,1.09271
20,3,3,10080,0,6.95264e-310,0,1e+06,800.26,1273.44,1111.76,0.01,-999,0,-999,1.04426
21,3,3,10579,0,6.95264e-310,0,1e+06,837.015,1326.11,1172.01,0.01,-999,0,-999,1.00278
22,3,3,11078,0,6.95264e-310,0,1e+06,873.649,1378.39,1232.53,0.01,-999,0,-999,0.964757
23,3,3,11577,0,6.95264e-310,0,1e+06,910.166,1430.28,1293.31,0.01,-999,0,-999,0.929754
24,3,3,12076,0,6.95264e-310,0,1e+06,946.573,1481.81,1354.32,0.01,-999,0,-999,0.897419
25,3,3,12575,0,6.95264e-310,0,1e+06,982.873,1533,1415.57,0.01,-999,0,-999,0.867452
26,3,3,13074,0,6.95264e-310,0,1e+06,1019.07,1583.87,1477.05,0.01,-999,0,-999,0.839594
27,3,3,13573,0,6.95264e-310,0,1e+06,1055.17,1634.42,1538.74,0.01,-999,0,-999,0.813626
28,3,3,14072,0,6.95264e-310,0,1e+06,1091.18,1684.68,1600.64,0.01,-999,0,-999,0.789355
29,3,3,14571,0,6.95264e-310,0,1e+06,1127.1,1734.64,1662.75,0.01,-999,0,-999,0.766617
30,3,3,15070,0,6.95264e-310,0,1e+06,1162.93,1784.34,1725.05,0.01,-999,0,-999,0.745268
31,3,3,15569,0,6.95264e-310,0,1e+06,1198.68,1833.76,1787.54,0.01,-999,0,-999,0.725179
32,3,3,16068,0,6.95264e-310,0,1e+06,1234.34,1882.94,1850.22,0.01,-999,0,-999,0.706241
33,3,3,16567,0,6.95264e-310,0,1e+06,1269.93,1931.86,1913.08,0.01,-999,0,-999,0.688355
34,3,3,17066,0,6.95264e-310,0,1e+06,1305.44,1980.55,1976.11,0.01,-999,0,-999,0.671432
35,3,3,17565,0,6.95264e-310,0,1e+06,1340.88,2029.02,2039.32,0.01,-999,0,-999,0.655396
36,3,3,18064,0,6.95264e-310,0,1e+06,1376.25,2077.26,2102.69,0.01,-999,0,-999,0.640175
37,3,3,18563,0,6.95264e-310,0,1e+06,1411.55,2125.28,2166.22,0.01,-999,0,-999,0.625709
38,3,3,19062,0,6.95264e-310,0,1e+06,1446.78,2173.1,2229.91,0.01,-999,0,-999,0.611941
39,3,3,19561,0,6.95264e-310,0,1e+06,1481.95,2220.71,2293.75,0.01,-999,0,-999,0.59882
40,3,3,20060,0,6.95264e-310,0,1e+06,1517.05,2268.14,2357.75,0.01,-999,0,-999,0.5863
41,3,3,20559,0,6.95264e-310,0,1e+06,1552.1,2315.37,2421.89,0.01,-999,0,-999,0.57434
42,3,3,21058,0,6.95264e-310,0,1e+06,1587.08,2362.41,2486.18,0.01,-999,0,-999,0.562902
43,3,3,21557,0,6.95264e-310,0,1e+06,1622,2409.28,2550.61,0.01,-999,0,-999,0.551952
44,3,3,22056,0,6.95264e-310,0,1e+06,1656.87,2455.97,2615.17,0.01,-999,0,-999,0.541459
45,3,3,22555,0,6.95264e-310,0,1e+06,1691.68,2502.5,2679.87,0.01,-999,0,-999,0.531393
46,3,3,23054,0,6.95264e-310,0,1e+06,1726.44,2548.85,2744.71,0.01,-999,0,-999,0.521728
47,3,3,23553,0,6.95264e-310,0,1e+06,1761.14,2595.05,2809.67,0.01,-999,0,-999,0.51244
48,3,3,24052,0,6.95264e-310,0,1e+06,1795.79,2641.09,2874.76,0.01,-999,0,-999,0.503508
49,3,3,24551,0,6.95264e-310,0,1e+06,1830.4,2686.97,2939.97,0.01,-999,0,-999,0.49491
50,3,3,25050,0,6.95264e-310,0,1e+06,1864.95,2732.7,3005.31,0.01,-999,0,-999,0.486627
51,3,3,25549,0,6.95264e-310,0,1e+06,1899.45,2778.29,3070.77,0.01,-999,0,-999,0.478642
52,3,3,26048,0,6.95264e-310,0,1e+06,1933.91,2823.74,3136.35,0.01,-999,0,-999,0.470939
53,3,3,26547,0,6.95264e-310,0,1e+06,1968.32,2869.04,3202.04,0.01,-999,0,-999,0.463503
54,3,3,27046,0,6.95264e-310,0,1e+06,2002.68,2914.21,3267.85,0.01,-999,0,-999,0.456319
55,3,3,27545,0,6.95264e-310,0,1e+06,2037,2959.24,3333.76,0.01,-999,0,-999,0.449375
56,3,3,28044,0,6.95264e-310,0,1e+06,2071.27,3004.14,3399.79,0.01,-999,0,-999,0.442658
57,3,3,28543,0,6.95264e-310,0,1e+06,2105.5,3048.91,3465.93,0.01,-999,0,-999,0.436158
58,3,3,29042,0,6.95264e-310,0,1e+06,2139.69,3093.56,3532.18,0.01,-999,0,-999,0.429863
59,3,3,29541,0,6.95264e-310,0,1e+06,2173.84,3138.08,3598.53,0.01,-999,0,-999,0.423764
60,3,3,30040,0,6.95264e-310,0,1e+06,2207.95,3182.49,3664.98,0.01,-999,0,-999,0.417852
61,3,3,30539,0,6.95264e-310,0,1e+06,2242.02,3226.77,3731.54,0.01,-999,0,-999,0.412117
62,3,3,31038,0,6.95264e-310,0,1e+06,2276.04,3270.94,3798.2,0.01,-999,0,-999,0.406552
63,3,3,31537,0,6.95264e-310,0,1e+06,2310.03,3314.99,3864.95,0.01,-999,0,-999,0.40115
64,3,3,32036,0,6.95264e-310,0,1e+06,2343.99,3358.5,3912.95,0.01,-999,0,-999,0.395953
